Wavelength,R,G,B,C,M,Y
618.2,0.87798733611864,0.222408550262413,0.0520890915650967,0.0917421284421013,0.019383607426141,0.687957395010456
618.4,0.876195293926895,0.220995537920257,0.0520255173974719,0.0918101433854455,0.0195688963515094,0.686559873635979
618.6,0.87441418424431,0.219599635414497,0.0519653560324922,0.0918806058167737,0.0197537839408828,0.685160161212026
618.8,0.872644704096689,0.218220858060152,0.0519086240025328,0.0919535222335754,0.0199382666115961,0.683758228075293
619,0.87088752670874,0.216859215851004,0.0518553364840108,0.0920288990823282,0.0201223414043778,0.682354044310566
619.2,0.869143300885409,0.215514713385958,0.0518055072750006,0.0921067427181295,0.0203060059711703,0.680947579791917
619.4,0.867412650393211,0.214187349795395,0.0517591487728486,0.0921870593643275,0.0204892585629382,0.679538804223891
619.6,0.865696173341558,0.212877118667525,0.0517162719517881,0.0922698550721529,0.0206720980174773,0.67812768718271
619.8,0.863994441564087,0.211584007974747,0.0516768863405545,0.0923551356803493,0.0208545237472233,0.67671419815746
620,0.862308,0.210308,0.051641,0.0924429067751318,0.0210365357270602,0.67529830659129
620.2,0.86063736608388,0.209049071264607,0.0516086195010834,0.092533173658636,0.0212181344821295,0.673879981922604
620.4,0.858983029356527,0.207807192494773,0.0515797499126069,0.0926259413389221,0.0213993210756388,0.672459193626257
620.6,0.857345451636759,0.206582328686215,0.0515543948136945,0.0927212145284707,0.0215800970966705,0.671035911254746
620.8,0.855725067414219,0.205374439207455,0.0515325563160172,0.0928189976430054,0.0217604646479904,0.669610104479411
621,0.854122284250674,0.204183477904586,0.0515142350863935,0.092919294800315,0.0219404263338568,0.668181743131624
621.2,0.85253748318132,0.203009393206058,0.0514994303693891,0.0930221098190754,0.0221199852478289,0.666750797243983
621.4,0.850971019116084,0.201852128227442,0.0514881400099175,0.0931274462176725,0.0222991449605758,0.665317237091561
621.6,0.849423221240923,0.200711620876213,0.0514803604758401,0.0932353072130242,0.0224779095076851,0.66388103323445
621.8,0.847894393419131,0.199587803956523,0.0514760868805663,0.0933456957194028,0.0226562833774714,0.662442156563614
622,0.846384814592638,0.198480605273972,0.0514753130056536,0.0934586143472574,0.0228342714987858,0.661000578348042
622.2,0.844894739183314,0.19738994774039,0.0514780313234081,0.0935740654020359,0.0230118792288237,0.659556270281959
622.4,0.843424397494269,0.196315749478606,0.0514842330194843,0.0936920508830079,0.0231891123409343,0.658109204532023
622.6,0.84197399611116,0.195257923927224,0.0514939080154856,0.0938125724820863,0.0233659770124291,0.656659353784537
622.8,0.840543718303487,0.194216379945403,0.0515070449915642,0.0939356315826501,0.0235424798123902,0.655206691292652
623,0.839133724425903,0.193191021917623,0.0515236314090217,0.0940612292583667,0.0237186276894796,0.65375119092357
623.2,0.837744152319506,0.19218174985847,0.0515436535329086,0.0941893662720141,0.023894427959748,0.65229282720575
623.4,0.836375117713152,0.191188459517403,0.0515670964546254,0.0943200430743032,0.0240698882944431,0.650831575376116
623.6,0.83502671462475,0.190211042483533,0.0515939441145219,0.0944532598027001,0.0242450167078187,0.649367411427258
623.8,0.833699015762569,0.189249386290396,0.0516241793244979,0.0945890162802485,0.0244198215449432,0.647900312154639
624,0.832392072926536,0.188303374520731,0.0516577837906034,0.0947273120143919,0.0245943114695083,0.646430255203802
624.2,0.831105917409542,0.187372886911253,0.0516947381356384,0.0948681461957963,0.024768495451638,0.64495721911757
624.4,0.829840560398741,0.186457799457425,0.0517350219217535,0.0950115176971721,0.0249423827556976,0.643481183383258
624.6,0.828595993376855,0.185557984518239,0.0517786136730499,0.0951574250720962,0.0251159829281015,0.642002128479494
624.8,0.827372188523477,0.184673310920986,0.0518254908981794,0.0953058665538352,0.0252893057851228,0.640520035913279
625,0.826169099116368,0.183803644066035,0.0518756301129452,0.0954568400541668,0.0254623614007019,0.639034888232214
625.2,0.824986659932767,0.182948846031605,0.0519290068629011,0.0956103431622027,0.0256351600942549,0.637546669026959
625.4,0.823824787650685,0.182108775678539,0.0519855957459527,0.0957663731432105,0.0258077124184824,0.636055362933314
625.6,0.822683381250216,0.181283288755084,0.052045370434957,0.0959249269374364,0.0259800291471789,0.634560955634296
625.8,0.82156232241483,0.180472238001661,0.0521083037003227,0.0960860011589275,0.0261521212630405,0.633063433862221
626,0.820461475932686,0.179675473255642,0.0521743674326103,0.0962495920943537,0.0263239999454745,0.631562785400783
626.2,0.819380690097923,0.178892841556125,0.0522435326651326,0.0964156957018302,0.0264956765584078,0.630058999087138
626.4,0.818319797111971,0.17812418724871,0.0523157695965545,0.0965843076097404,0.0266671626380955,0.628552064813978
626.6,0.817278613484849,0.17736935209027,0.0523910476134934,0.0967554231155571,0.02683846988093,0.627041973531614
626.8,0.816256940436468,0.176628175353732,0.0524693353131194,0.096929037184666,0.0270096101312494,0.625528717250057
627,0.815254564297935,0.175900493932847,0.0525506005257554,0.0971051444491871,0.0271805953691465,0.624012289041097
627.2,0.814271256912852,0.175186142446966,0.0526348103374772,0.0972837392067975,0.0273514376982774,0.622492683040383
627.4,0.813306776038623,0.174484953345818,0.0527219311127139,0.0974648154195535,0.0275221493336703,0.620969894449503
627.6,0.812360865747751,0.173796757014281,0.052811928516848,0.0976483667127207,0.0276927425895343,0.619443919538064
627.8,0.811433256829145,0.173121381877159,0.0529047675388155,0.097834386373798,0.0278632298671043,0.617914755645773
628,0.810523667189418,0.172458654503956,0.0530004125137062,0.0980228673520362,0.028033623643435,0.616382401184516
628.2,0.809631802254193,0.171808399713654,0.0530988271453638,0.0982138022581509,0.0282039364626012,0.614846855640439
628.4,0.808757355369404,0.171170440679484,0.053199974528986,0.0984071833640428,0.028374180927847,0.613308119576026
628.6,0.807900008202596,0.170544599033701,0.053303817173725,0.0986030026025183,0.0285443696937711,0.611766194632181
628.8,0.807059431144234,0.169930694972365,0.0534103170252874,0.0988012515670096,0.0287145154585119,0.61022108353031
629,0.806235283708995,0.169328547360106,0.0535194354885345,0.0990019215112954,0.0288846309559339,0.608672790074396
629.2,0.805427214937081,0.16873797383491,0.0536311334500823,0.0992050033492216,0.0290547289478123,0.607121319153083
629.4,0.804634863795512,0.168158790912886,0.0537453713009021,0.0994104876544207,0.0292248222160183,0.605566676741753
629.6,0.803857859579436,0.167590814093041,0.0538621089589201,0.0996183646600334,0.0293949235547057,0.60400886990461
629.8,0.803095822313426,0.167033857962063,0.0539813058916183,0.0998286242584281,0.0295650457624947,0.602447906796759
630,0.802348363152785,0.166487736299087,0.0541029211386339,0.100041256000922,0.0297352016346588,0.600883796666279
630.2,0.801615084784848,0.165952262180473,0.05422691333436,0.100256249097501,0.0299054039553094,0.599316549856317
630.4,0.800895581830284,0.165427248084584,0.0543532407305459,0.100473592416541,0.0300756654895816,0.597746177807156
630.6,0.800189441244395,0.164912505996556,0.0544818612188967,0.100693274484526,0.0302459989758191,0.596172693058297
630.8,0.799496242718426,0.164407847513076,0.0546127323536741,0.100915283485771,0.0304164171177606,0.594596109250546
631,0.79881555908086,0.163913083947159,0.0547458113742961,0.101139607262143,0.0305869325767523,0.593016441128086
631.2,0.798146956698724,0.163428026432917,0.0548810552279375,0.101366233312778,0.030757557964686,0.591433704540561
631.4,0.79748999587889,0.162952486030339,0.05501842059213,0.101595148793805,0.030928305838777,0.589847916445157
631.6,0.796844231269378,0.162486273830063,0.0551578638973622,0.101826340518063,0.0310991886970668,0.588259094908678
631.8,0.796209212260657,0.162029201058155,0.0552993413496802,0.102059794954824,0.0312702189739523,0.586667259109631
632,0.79558448338695,0.161581079180879,0.0554428089532875,0.102295498229513,0.0314414090357171,0.585072429340301
632.2,0.794969584727532,0.161141720009475,0.0555882225331451,0.102533436123429,0.0316127711760611,0.583474627008974
632.4,0.794364052308039,0.160710935804934,0.0557355377575716,0.102773594073462,0.0317843176116309,0.581873874645739
632.6,0.793767418501762,0.160288539382771,0.0558847101608441,0.103015957171817,0.0319560604775499,0.5802701959174
632.8,0.793179212430955,0.159874344217802,0.0560356951657975,0.103260510165735,0.0321280118229491,0.578663615645977
633,0.792598960368137,0.159468164548919,0.0561884481064251,0.103507237457209,0.0323001836064967,0.577054159827339
633.2,0.792026186137392,0.159069815483862,0.056342924250479,0.103756123102709,0.0324725876919284,0.575441855649847
633.4,0.791460411515672,0.158679113103998,0.0564990788220697,0.1040071508129,0.0326452358435781,0.573826731512986
633.6,0.7909011566341,0.158295874569094,0.0566568670242666,0.104260303952362,0.0328181397219074,0.572208817046
633.8,0.790347940379273,0.157919918222092,0.0568162440616984,0.104515565539313,0.0329913108790367,0.570588143126537
634,0.789800280794562,0.157551063693885,0.0569771651631531,0.104772918245327,0.0331647607542746,0.56896474189928
634.2,0.789257695481416,0.157189132008089,0.057139585604178,0.105032344395055,0.0333385006696487,0.567338646794583
634.4,0.788719702000665,0.156833945685821,0.0573034607296801,0.105293825965945,0.0335125418254359,0.565709892547111
634.6,0.788185818273819,0.156485328850475,0.0574687459765263,0.105557344587966,0.0336868952956919,0.564078515214478
